1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,439144
1024,000000	4,814378
2048,000000	8,393359
3072,000000	11,493828
4096,000000	15,039297
5120,000000	18,598828
6144,000000	21,443672
7168,000000	24,915625
8192,000000	28,499453
9216,000000	31,773125
10240,000000	35,225234
11264,000000	38,137656
12288,000000	41,680234
13312,000000	44,937734
14336,000000	48,299062
15360,000000	51,407188
16384,000000	54,973516
17408,000000	57,650000
18432,000000	60,941563
19456,000000	64,417969
20480,000000	67,489453
21504,000000	70,718984
22528,000000	73,729766
23552,000000	76,801016
24576,000000	80,034453
25600,000000	83,022344
26624,000000	86,176641
27648,000000	88,890312
28672,000000	91,954219
29696,000000	94,965391
30720,000000	97,686250
31744,000000	100,417266
32768,000000	103,572578
33792,000000	106,158281
34816,000000	108,979609
35840,000000	112,087500
36864,000000	114,519453
37888,000000	117,480234
38912,000000	120,055703
39936,000000	122,430859
40960,000000	125,279609
41984,000000	127,773359
43008,000000	130,447266
44032,000000	132,838516
45056,000000	135,632578
46080,000000	137,835938
47104,000000	140,560781
48128,000000	142,761875
49152,000000	145,013203
50176,000000	147,319063
51200,000000	149,882188
52224,000000	152,334219
53248,000000	154,195156
54272,000000	156,522031
55296,000000	158,752969
56320,000000	160,848906
57344,000000	163,055391
58368,000000	165,208984
59392,000000	167,420703
60416,000000	169,191797
61440,000000	171,331406
62464,000000	173,295469
63488,000000	175,125859
64512,000000	177,169453
65536,000000	179,451250
66560,000000	181,543984
67584,000000	183,274766
68608,000000	185,033047
69632,000000	187,047188
70656,000000	188,418828
71680,000000	190,276562
72704,000000	191,957578
73728,000000	193,706719
74752,000000	195,105469
75776,000000	196,616406
76800,000000	198,514844
77824,000000	199,892656
78848,000000	201,608984
79872,000000	203,189453
80896,000000	204,491875
81920,000000	206,006719
82944,000000	207,483047
83968,000000	209,045156
84992,000000	210,153828
86016,000000	211,650313
87040,000000	213,051719
88064,000000	214,376250
89088,000000	215,693594
90112,000000	216,925391
91136,000000	218,093750
92160,000000	219,271328
93184,000000	220,249687
94208,000000	221,461250
95232,000000	222,752500
96256,000000	223,763203
97280,000000	224,710859
98304,000000	225,961641
99328,000000	227,135234
100352,000000	228,289062
101376,000000	229,103281
102400,000000	230,049141
103424,000000	231,002266
104448,000000	231,818516
105472,000000	232,854844
106496,000000	233,563672
107520,000000	234,500391
108544,000000	235,489297
109568,000000	236,245469
110592,000000	237,000234
111616,000000	237,711016
112640,000000	238,510859
113664,000000	239,408125
114688,000000	240,176484
115712,000000	241,165156
116736,000000	241,823281
117760,000000	242,519922
118784,000000	243,309453
119808,000000	243,750391
120832,000000	244,516016
121856,000000	245,184375
122880,000000	245,724141
123904,000000	246,440313
124928,000000	246,819922
125952,000000	247,468516
126976,000000	248,033672
128000,000000	248,404063
129024,000000	249,031016
