1D 255 -512.000000 260608.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.802026
1024.000000	4.616713
2048.000000	7.694375
3072.000000	11.507578
4096.000000	14.631250
5120.000000	18.498984
6144.000000	21.187344
7168.000000	24.949922
8192.000000	27.919531
9216.000000	31.116875
10240.000000	34.816328
11264.000000	38.163281
12288.000000	41.224297
13312.000000	44.575937
14336.000000	47.913594
15360.000000	51.062344
16384.000000	54.083516
17408.000000	57.483594
18432.000000	61.034922
19456.000000	64.132344
20480.000000	67.327266
21504.000000	70.376875
22528.000000	73.380859
23552.000000	76.079766
24576.000000	79.552188
25600.000000	82.407500
26624.000000	85.602500
27648.000000	88.391562
28672.000000	91.194531
29696.000000	94.239063
30720.000000	97.401172
31744.000000	99.816016
32768.000000	103.080703
33792.000000	105.382031
34816.000000	108.709844
35840.000000	111.374766
36864.000000	114.129531
37888.000000	116.702109
38912.000000	119.435391
39936.000000	122.046641
40960.000000	124.871562
41984.000000	127.398516
43008.000000	129.799062
44032.000000	132.019297
45056.000000	134.765703
46080.000000	137.452500
47104.000000	139.999844
48128.000000	142.322656
49152.000000	144.695156
50176.000000	147.010469
51200.000000	149.347422
52224.000000	151.500547
53248.000000	153.716094
54272.000000	156.157422
55296.000000	158.622813
56320.000000	160.512891
57344.000000	162.607969
58368.000000	164.549453
59392.000000	166.350000
60416.000000	168.640312
61440.000000	170.676328
62464.000000	172.711953
63488.000000	174.880313
64512.000000	176.730156
65536.000000	178.882031
66560.000000	180.772734
67584.000000	182.643906
68608.000000	184.690937
69632.000000	186.497031
70656.000000	187.911328
71680.000000	189.737734
72704.000000	191.150859
73728.000000	193.088906
74752.000000	194.717031
75776.000000	196.464609
76800.000000	197.885703
77824.000000	199.716953
78848.000000	201.089844
79872.000000	202.571641
80896.000000	203.978594
81920.000000	205.533281
82944.000000	206.921406
83968.000000	208.485625
84992.000000	210.084531
86016.000000	211.416172
87040.000000	212.826328
88064.000000	214.035469
89088.000000	215.321641
90112.000000	216.584219
91136.000000	217.699141
92160.000000	218.981641
93184.000000	220.133281
94208.000000	221.282656
95232.000000	222.455859
96256.000000	223.392812
97280.000000	224.600781
98304.000000	225.822578
99328.000000	226.685547
100352.000000	227.900078
101376.000000	228.991953
102400.000000	229.806328
103424.000000	230.821641
104448.000000	231.737734
105472.000000	232.710703
106496.000000	233.572422
107520.000000	234.351484
108544.000000	235.373594
109568.000000	236.044766
110592.000000	236.940156
111616.000000	237.630937
112640.000000	238.406953
113664.000000	239.157422
114688.000000	240.074609
115712.000000	241.076172
116736.000000	241.790312
117760.000000	242.531797
118784.000000	243.217734
119808.000000	243.734531
120832.000000	244.561719
121856.000000	245.013281
122880.000000	245.611328
123904.000000	246.213828
124928.000000	246.842500
125952.000000	247.364297
126976.000000	247.917031
128000.000000	248.526719
129024.000000	248.997969
130048.000000	249.542031
131072.000000	249.954609
132096.000000	250.407813
133120.000000	250.807187
134144.000000	251.458281
135168.000000	251.845625
136192.000000	252.193906
137216.000000	252.723594
138240.000000	253.082109
139264.000000	253.423438
140288.000000	253.858047
141312.000000	254.280781
142336.000000	254.545469
143360.000000	254.923750
144384.000000	255.234609
145408.000000	255.725703
146432.000000	255.928672
147456.000000	256.422187
148480.000000	256.577969
149504.000000	257.034453
150528.000000	257.377734
151552.000000	257.583594
152576.000000	257.834297
153600.000000	258.166484
154624.000000	258.292422
155648.000000	258.588594
156672.000000	258.886250
157696.000000	259.131797
158720.000000	259.304297
159744.000000	259.529766
160768.000000	259.685781
161792.000000	259.969531
162816.000000	260.259766
163840.000000	260.543594
164864.000000	260.715625
165888.000000	260.891250
166912.000000	261.061875
167936.000000	261.311641
168960.000000	261.345000
169984.000000	261.602031
171008.000000	261.672188
