1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	5,132107
1024,000000	4,998566
2048,000000	8,302897
3072,000000	10,001307
4096,000000	13,605937
5120,000000	16,554687
6144,000000	19,889219
7168,000000	23,412266
8192,000000	26,347188
9216,000000	29,392031
10240,000000	31,741016
11264,000000	34,380469
12288,000000	37,524453
13312,000000	40,576172
14336,000000	43,083359
15360,000000	47,313672
16384,000000	48,588906
17408,000000	51,552969
18432,000000	55,070078
19456,000000	58,904141
20480,000000	60,155469
21504,000000	62,477109
22528,000000	66,000937
23552,000000	69,502813
24576,000000	72,355156
25600,000000	74,663594
26624,000000	78,003203
27648,000000	79,703125
28672,000000	83,159453
29696,000000	85,035391
30720,000000	87,274297
31744,000000	90,603672
32768,000000	93,653672
33792,000000	95,547500
34816,000000	98,455859
35840,000000	100,321953
36864,000000	103,099609
37888,000000	105,538984
38912,000000	107,644141
39936,000000	110,902344
40960,000000	113,922266
41984,000000	114,989453
43008,000000	117,530937
44032,000000	120,059297
45056,000000	121,714141
46080,000000	125,022500
47104,000000	126,609609
48128,000000	128,517500
49152,000000	131,893047
50176,000000	133,153672
51200,000000	135,268594
52224,000000	138,456797
53248,000000	140,079531
54272,000000	141,588047
55296,000000	144,137813
56320,000000	145,734453
57344,000000	148,649297
58368,000000	150,136719
59392,000000	151,832266
60416,000000	153,677578
61440,000000	155,580156
62464,000000	157,770781
63488,000000	159,068047
64512,000000	160,819375
65536,000000	163,695703
66560,000000	165,237500
67584,000000	167,122656
68608,000000	169,536563
69632,000000	171,036797
70656,000000	172,320312
71680,000000	174,336719
72704,000000	175,560937
73728,000000	177,658125
74752,000000	178,587734
75776,000000	181,119141
76800,000000	181,778203
77824,000000	183,624609
78848,000000	185,747578
79872,000000	186,896719
80896,000000	188,884453
81920,000000	189,860625
82944,000000	190,701406
83968,000000	192,364922
84992,000000	194,211250
86016,000000	195,828047
87040,000000	196,840625
88064,000000	198,299062
89088,000000	199,711094
90112,000000	200,759688
91136,000000	202,049531
92160,000000	203,452344
93184,000000	204,010000
94208,000000	206,056719
95232,000000	207,336172
96256,000000	208,358984
97280,000000	208,916719
98304,000000	210,528359
99328,000000	211,381406
100352,000000	213,132031
101376,000000	214,183906
102400,000000	215,384219
103424,000000	216,189297
104448,000000	217,590469
105472,000000	218,295859
106496,000000	219,195000
107520,000000	220,397266
108544,000000	221,192109
109568,000000	222,288984
110592,000000	223,497734
111616,000000	224,184453
112640,000000	224,868828
113664,000000	225,948203
114688,000000	227,055781
115712,000000	227,767891
116736,000000	228,588906
117760,000000	228,995313
118784,000000	230,163750
119808,000000	230,710312
120832,000000	231,764219
121856,000000	232,579141
122880,000000	233,088516
123904,000000	233,742344
124928,000000	234,383047
125952,000000	235,235625
126976,000000	236,084375
128000,000000	236,738750
129024,000000	237,361328
130048,000000	238,151484
131072,000000	238,749687
132096,000000	239,445703
133120,000000	239,930078
134144,000000	240,744844
135168,000000	241,217734
136192,000000	242,065313
137216,000000	242,590156
138240,000000	243,008984
139264,000000	243,733594
140288,000000	244,087031
141312,000000	244,691719
142336,000000	245,185937
143360,000000	245,731328
144384,000000	246,371016
145408,000000	246,758828
146432,000000	247,104609
147456,000000	247,738594
148480,000000	248,041562
149504,000000	248,475313
150528,000000	248,842969
151552,000000	249,339219
152576,000000	249,701875
153600,000000	250,252656
154624,000000	250,605000
155648,000000	250,928516
156672,000000	251,423672
157696,000000	251,663828
158720,000000	251,804062
159744,000000	252,324844
160768,000000	252,456875
161792,000000	253,036016
162816,000000	253,397656
163840,000000	253,631016
164864,000000	253,909687
165888,000000	254,220234
166912,000000	254,719844
167936,000000	254,876016
168960,000000	255,214609
169984,000000	255,509219
171008,000000	255,829688
172032,000000	255,986328
173056,000000	256,150312
174080,000000	256,413594
175104,000000	256,591953
176128,000000	256,958125
177152,000000	257,158359
178176,000000	257,346641
179200,000000	257,602734
180224,000000	257,752109
181248,000000	258,010703
182272,000000	258,268828
183296,000000	258,514688
184320,000000	258,654219
185344,000000	258,826953
186368,000000	259,061562
187392,000000	259,245859
188416,000000	259,300312
189440,000000	259,538828
190464,000000	259,711016
191488,000000	259,918750
192512,000000	260,108984
193536,000000	260,165312
194560,000000	260,478516
195584,000000	260,684766
196608,000000	261,012500
197632,000000	261,027891
198656,000000	261,019609
199680,000000	261,423359
200704,000000	261,485313
201728,000000	261,638516
202752,000000	261,656016
203776,000000	261,736484
204800,000000	261,941641
205824,000000	262,094297
206848,000000	262,180938
207872,000000	262,303437
208896,000000	262,283594
209920,000000	262,458125
210944,000000	262,634453
211968,000000	262,722734
212992,000000	262,828359
214016,000000	262,852969
215040,000000	262,960859
216064,000000	263,036563
217088,000000	263,225312
218112,000000	263,281797
219136,000000	263,355859
220160,000000	263,455000
221184,000000	263,485625
222208,000000	263,473516
223232,000000	263,575391
224256,000000	263,653203
225280,000000	263,741875
226304,000000	263,877812
227328,000000	263,820000
228352,000000	263,868125
229376,000000	264,187344
230400,000000	264,148672
231424,000000	264,184922
232448,000000	264,400078
233472,000000	264,302187
234496,000000	264,345781
235520,000000	264,385313
236544,000000	264,512109
237568,000000	264,484219
238592,000000	264,589688
239616,000000	264,687656
240640,000000	264,766719
241664,000000	264,886875
242688,000000	264,822500
243712,000000	264,919063
244736,000000	265,038828
245760,000000	264,978281
246784,000000	265,221406
247808,000000	265,298437
248832,000000	265,263203
249856,000000	265,256016
250880,000000	265,252188
251904,000000	265,408984
252928,000000	265,447969
253952,000000	265,435938
254976,000000	265,574844
256000,000000	265,590547
257024,000000	265,595703
258048,000000	265,624922
259072,000000	265,698750
260096,000000	265,784766
