# Spannung in Volt                  Strom in Mikro-Ampere
198   1.3                  
190   1.3                  
180   1.30                  
170   1.32
160   1.32
150   1.33
140   1.32
130   1.32
120   1.32
110   1.31
100   1.3
90    1.29                  
80    1.28                  
70    1.28                  
60    1.27                  
50    1.24                  
40    1.19                  
30    1.15                  
20    1.07                  
10    0.95                  
0     0.81                  
