1D 32 -4.000000 252.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	77.536094
8.000000	80.863203
16.000000	83.720313
24.000000	88.335000
32.000000	89.738047
40.000000	93.543906
48.000000	95.607734
56.000000	95.174688
64.000000	93.766641
72.000000	89.847500
80.000000	77.477266
88.000000	59.686797
96.000000	33.817500
104.000000	6.688179
112.000000	3.795812
120.000000	3.797790
128.000000	3.148914
136.000000	3.122315
144.000000	3.544605
152.000000	3.574324
160.000000	3.631213
168.000000	3.636544
176.000000	2.915578
184.000000	3.528813
192.000000	3.141343
200.000000	3.588666
208.000000	3.452261
216.000000	3.361739
224.000000	3.474238
232.000000	3.971783
240.000000	3.392355
248.000000	3.359941
